WEIGHT NAME                                        SHAPE             MIN           MAX           STD      
bn4d_branch2c_2/moving_variance:0                 (1024,)           +0.0013        +0.0854      +0.0057   
res4e_branch2a_2/kernel:0                    (1, 1, 1024, 256)      -0.1474        +0.1154      +0.0103   
res4e_branch2a_2/bias:0                            (256,)           -0.0006        +0.0009      +0.0003   
bn4e_branch2a_2/gamma:0                            (256,)           +0.6414        +1.3680      +0.1230   
bn4e_branch2a_2/beta:0                             (256,)           -1.0867        +0.3564      +0.2688   
bn4e_branch2a_2/moving_mean:0                      (256,)           -3.8987        +1.4863      +1.0202   
bn4e_branch2a_2/moving_variance:0                  (256,)           +0.2908        +4.1538      +0.5407   
res4e_branch2b_2/kernel:0                     (3, 3, 256, 256)      -0.0862        +0.0939      +0.0091   
res4e_branch2b_2/bias:0                            (256,)           -0.0029        +0.0051      +0.0010   
bn4e_branch2b_2/gamma:0                            (256,)           +0.5490        +1.2861      +0.1311   
bn4e_branch2b_2/beta:0                             (256,)           -1.2790        +0.2216      +0.2528   
bn4e_branch2b_2/moving_mean:0                      (256,)           -1.0716        +0.6271      +0.2514   
bn4e_branch2b_2/moving_variance:0                  (256,)           +0.0388        +0.5987      +0.0750   
res4e_branch2c_2/kernel:0                    (1, 1, 256, 1024)      -0.2014        +0.1777      +0.0121   
res4e_branch2c_2/bias:0                           (1024,)           -0.0053        +0.0107      +0.0020   
bn4e_branch2c_2/gamma:0                           (1024,)           +0.0251        +1.7328      +0.1828   
bn4e_branch2c_2/beta:0                            (1024,)           -1.0507        +0.4076      +0.1765   
bn4e_branch2c_2/moving_mean:0                     (1024,)           -0.2043        +0.0873      +0.0359   
bn4e_branch2c_2/moving_variance:0                 (1024,)           +0.0007        +0.0373      +0.0033   
res4f_branch2a_2/kernel:0                    (1, 1, 1024, 256)      -0.0860        +0.1289      +0.0106   
res4f_branch2a_2/bias:0                            (256,)           -0.0006        +0.0010      +0.0003   
bn4f_branch2a_2/gamma:0                            (256,)           +0.6962        +1.3808      +0.0996   
bn4f_branch2a_2/beta:0                             (256,)           -1.1552        +0.3890      +0.2462   
bn4f_branch2a_2/moving_mean:0                      (256,)           -4.3923        +2.0997      +1.0476   
bn4f_branch2a_2/moving_variance:0                  (256,)           +0.3235        +3.9428      +0.6106   
res4f_branch2b_2/kernel:0                     (3, 3, 256, 256)      -0.1023        +0.1056      +0.0097   
res4f_branch2b_2/bias:0                            (256,)           -0.0038        +0.0037      +0.0010   
bn4f_branch2b_2/gamma:0                            (256,)           +0.4326        +1.2403      +0.1092   
bn4f_branch2b_2/beta:0                             (256,)           -1.4296        +0.5155      +0.2444   
bn4f_branch2b_2/moving_mean:0                      (256,)           -1.6409        +1.4733      +0.3083   
bn4f_branch2b_2/moving_variance:0                  (256,)           +0.0403        +0.5428      +0.0756   
res4f_branch2c_2/kernel:0                    (1, 1, 256, 1024)      -0.1396        +0.1322      +0.0121   
res4f_branch2c_2/bias:0                           (1024,)           -0.0073        +0.0118      +0.0025   
bn4f_branch2c_2/gamma:0                           (1024,)           +0.1776        +1.6173      +0.1734   
bn4f_branch2c_2/beta:0                            (1024,)           -0.9800        +0.2974      +0.1410   
bn4f_branch2c_2/moving_mean:0                     (1024,)           -0.1488        +0.0678      +0.0309   
bn4f_branch2c_2/moving_variance:0                 (1024,)           +0.0008        +0.0160      +0.0021   
res4g_branch2a_2/kernel:0                    (1, 1, 1024, 256)      -0.1154        +0.2504      +0.0109   
res4g_branch2a_2/bias:0                            (256,)           -0.0008        +0.0007      +0.0003   
bn4g_branch2a_2/gamma:0                            (256,)           +0.6048        +1.2029      +0.1063   
bn4g_branch2a_2/beta:0                             (256,)           -1.2676        +0.2347      +0.2817   
bn4g_branch2a_2/moving_mean:0                      (256,)           -4.1649        +1.3777      +0.9897   
